,file_name,formula,h,explicit,reward,init_xpos,init_xdot,init_theta,init_thetadot
3,symbolic_complex17_cma_swingup_fav_model.pt,((x3 * 92.0707981978979) + 35.31403859846044 * x4) / (((x4 * ((x3 * 14.616212435507046) + 2.564206525517378 * x4)) * -3.5220632954659585) + -12.626553928515493),0.01,True,-5397.592273907739,0.45507790161236855,-0.4999999885587307,3.632981594630778,-0.4971378317514925
0,symbolic_complex17_cma_swingup_fav_model.pt,((x3 * 92.0707981978979) + 35.31403859846044 * x4) / (((x4 * ((x3 * 14.616212435507046) + 2.564206525517378 * x4)) * -3.5220632954659585) + -12.626553928515493),0.01,True,-5397.592031120373,0.2920948260568268,0.4999999513330383,2.65020464304917,0.4971242689449906
5,symbolic_complex17_cma_swingup_fav_model.pt,((x3 * 92.0707981978979) + 35.31403859846044 * x4) / (((x4 * ((x3 * 14.616212435507046) + 2.564206525517378 * x4)) * -3.5220632954659585) + -12.626553928515493),0.01,True,-5397.590755368999,-0.21026606476026613,0.49999984986908197,2.6502045190001153,0.49712537235039655
9,symbolic_complex17_cma_swingup_fav_model.pt,((x3 * 92.0707981978979) + 35.31403859846044 * x4) / (((x4 * ((x3 * 14.616212435507046) + 2.564206525517378 * x4)) * -3.5220632954659585) + -12.626553928515493),0.01,True,-5397.590728213486,-0.21970163587270666,-0.49999994098135386,3.63298044386971,-0.4971209752265459
7,symbolic_complex17_cma_swingup_fav_model.pt,((x3 * 92.0707981978979) + 35.31403859846044 * x4) / (((x4 * ((x3 * 14.616212435507046) + 2.564206525517378 * x4)) * -3.5220632954659585) + -12.626553928515493),0.01,True,-5397.590650538477,0.33356910470748846,-0.4999999929373508,3.6329825414416335,-0.49715009090633155
13,symbolic_complex17_cma_swingup_fav_model.pt,((x3 * 92.0707981978979) + 35.31403859846044 * x4) / (((x4 * ((x3 * 14.616212435507046) + 2.564206525517378 * x4)) * -3.5220632954659585) + -12.626553928515493),0.005,True,-5558.548280557017,-0.4810672262116327,-0.4999566814606151,3.641592652858613,-0.478799945478847
18,symbolic_complex17_cma_swingup_fav_model.pt,((x3 * 92.0707981978979) + 35.31403859846044 * x4) / (((x4 * ((x3 * 14.616212435507046) + 2.564206525517378 * x4)) * -3.5220632954659585) + -12.626553928515493),0.005,True,-5557.245779973586,0.49794729758701967,0.4999999998212841,2.641592653896934,0.4999999889810333
12,symbolic_complex17_cma_swingup_fav_model.pt,((x3 * 92.0707981978979) + 35.31403859846044 * x4) / (((x4 * ((x3 * 14.616212435507046) + 2.564206525517378 * x4)) * -3.5220632954659585) + -12.626553928515493),0.005,True,-5557.245779862526,0.1510952979322941,0.49999999962249975,2.641592653924907,0.4999999874879157
14,symbolic_complex17_cma_swingup_fav_model.pt,((x3 * 92.0707981978979) + 35.31403859846044 * x4) / (((x4 * ((x3 * 14.616212435507046) + 2.564206525517378 * x4)) * -3.5220632954659585) + -12.626553928515493),0.005,True,-5557.24577751293,-0.06477736027104392,-0.4999999980171836,3.641592653321794,-0.4999999899057377
10,symbolic_complex17_cma_swingup_fav_model.pt,((x3 * 92.0707981978979) + 35.31403859846044 * x4) / (((x4 * ((x3 * 14.616212435507046) + 2.564206525517378 * x4)) * -3.5220632954659585) + -12.626553928515493),0.005,True,-5557.245764120976,-0.21227438255548603,0.4999999999389901,2.641592653995276,0.49999998469964707
24,symbolic_complex17_cma_swingup_fav_model.pt,((x3 * 92.0707981978979) + 35.31403859846044 * x4) / (((x4 * ((x3 * 14.616212435507046) + 2.564206525517378 * x4)) * -3.5220632954659585) + -12.626553928515493),0.0025,True,-9947.13953746167,-0.20842853769069392,-0.4999551432705964,3.6385716636087695,-0.49881973616654196
25,symbolic_complex17_cma_swingup_fav_model.pt,((x3 * 92.0707981978979) + 35.31403859846044 * x4) / (((x4 * ((x3 * 14.616212435507046) + 2.564206525517378 * x4)) * -3.5220632954659585) + -12.626553928515493),0.0025,True,-9944.789620196208,0.14187393272287138,0.4999999998482829,2.6415926608023983,0.49999999981866117
23,symbolic_complex17_cma_swingup_fav_model.pt,((x3 * 92.0707981978979) + 35.31403859846044 * x4) / (((x4 * ((x3 * 14.616212435507046) + 2.564206525517378 * x4)) * -3.5220632954659585) + -12.626553928515493),0.0025,True,-9944.789619913021,0.1131813142079659,-0.4999999999557145,3.641592646374651,-0.49999999973393405
28,symbolic_complex17_cma_swingup_fav_model.pt,((x3 * 92.0707981978979) + 35.31403859846044 * x4) / (((x4 * ((x3 * 14.616212435507046) + 2.564206525517378 * x4)) * -3.5220632954659585) + -12.626553928515493),0.0025,True,-9944.789615135327,-0.31588688301653006,-0.49999999900734077,3.641592646324964,-0.4999999977514223
26,symbolic_complex17_cma_swingup_fav_model.pt,((x3 * 92.0707981978979) + 35.31403859846044 * x4) / (((x4 * ((x3 * 14.616212435507046) + 2.564206525517378 * x4)) * -3.5220632954659585) + -12.626553928515493),0.0025,True,-9944.78961437098,0.4997393357025569,0.4999999993323369,2.6415926608332545,0.49999999902821957
31,symbolic_complex17_cma_swingup_fav_model.pt,((x3 * 92.0707981978979) + 35.31403859846044 * x4) / (((x4 * ((x3 * 14.616212435507046) + 2.564206525517378 * x4)) * -3.5220632954659585) + -12.626553928515493),0.01,False,-21709.55776624142,0.4984463796728592,0.49867798771648636,2.973347379989494,-0.4992728846026991
38,symbolic_complex17_cma_swingup_fav_model.pt,((x3 * 92.0707981978979) + 35.31403859846044 * x4) / (((x4 * ((x3 * 14.616212435507046) + 2.564206525517378 * x4)) * -3.5220632954659585) + -12.626553928515493),0.01,False,-19132.768021982123,0.4552800975010638,0.4992634346623928,2.9766658268883672,-0.49001461720996636
30,symbolic_complex17_cma_swingup_fav_model.pt,((x3 * 92.0707981978979) + 35.31403859846044 * x4) / (((x4 * ((x3 * 14.616212435507046) + 2.564206525517378 * x4)) * -3.5220632954659585) + -12.626553928515493),0.01,False,-17975.852717665795,0.023268708600763983,0.49023971902412344,2.9749288326901784,-0.49483840396848205
37,symbolic_complex17_cma_swingup_fav_model.pt,((x3 * 92.0707981978979) + 35.31403859846044 * x4) / (((x4 * ((x3 * 14.616212435507046) + 2.564206525517378 * x4)) * -3.5220632954659585) + -12.626553928515493),0.01,False,-17730.5874103695,-0.35959694350180904,0.4531102511456531,2.9748317888653815,-0.4949959256554989
39,symbolic_complex17_cma_swingup_fav_model.pt,((x3 * 92.0707981978979) + 35.31403859846044 * x4) / (((x4 * ((x3 * 14.616212435507046) + 2.564206525517378 * x4)) * -3.5220632954659585) + -12.626553928515493),0.01,False,-17722.53780385787,0.49770172953427383,-0.4999559669626933,3.309194437806221,0.49748433841649425
44,symbolic_complex17_cma_swingup_fav_model.pt,((x3 * 92.0707981978979) + 35.31403859846044 * x4) / (((x4 * ((x3 * 14.616212435507046) + 2.564206525517378 * x4)) * -3.5220632954659585) + -12.626553928515493),0.005,False,-15636.098954483958,0.49997858198682904,-0.4968590282215277,3.3073974936055905,0.4923170095272403
42,symbolic_complex17_cma_swingup_fav_model.pt,((x3 * 92.0707981978979) + 35.31403859846044 * x4) / (((x4 * ((x3 * 14.616212435507046) + 2.564206525517378 * x4)) * -3.5220632954659585) + -12.626553928515493),0.005,False,-14216.780475049296,-0.13289014254550224,-0.4850137799593773,3.310088977973845,0.4997873835199331
49,symbolic_complex17_cma_swingup_fav_model.pt,((x3 * 92.0707981978979) + 35.31403859846044 * x4) / (((x4 * ((x3 * 14.616212435507046) + 2.564206525517378 * x4)) * -3.5220632954659585) + -12.626553928515493),0.005,False,-13982.993686890088,0.48561588387062976,0.48449316940852,2.976801647686732,-0.4894461639831108
45,symbolic_complex17_cma_swingup_fav_model.pt,((x3 * 92.0707981978979) + 35.31403859846044 * x4) / (((x4 * ((x3 * 14.616212435507046) + 2.564206525517378 * x4)) * -3.5220632954659585) + -12.626553928515493),0.005,False,-12978.305043997563,0.4928175939815068,-0.4994474323619502,3.3083502353944394,0.4949848181290427
43,symbolic_complex17_cma_swingup_fav_model.pt,((x3 * 92.0707981978979) + 35.31403859846044 * x4) / (((x4 * ((x3 * 14.616212435507046) + 2.564206525517378 * x4)) * -3.5220632954659585) + -12.626553928515493),0.005,False,-11973.569676563991,-0.12056762051353864,0.49250962166858125,2.9733696601710955,-0.49907760432297454
50,symbolic_complex17_cma_swingup_fav_model.pt,((x3 * 92.0707981978979) + 35.31403859846044 * x4) / (((x4 * ((x3 * 14.616212435507046) + 2.564206525517378 * x4)) * -3.5220632954659585) + -12.626553928515493),0.0025,False,-9846.221784089254,-0.22487961079440083,0.4139084257505733,2.9873761193237787,-0.49475319751350927
55,symbolic_complex17_cma_swingup_fav_model.pt,((x3 * 92.0707981978979) + 35.31403859846044 * x4) / (((x4 * ((x3 * 14.616212435507046) + 2.564206525517378 * x4)) * -3.5220632954659585) + -12.626553928515493),0.0025,False,-9477.919234999015,-0.4690557264694006,0.42811833012160383,3.0045967395592243,-0.47471550942793617
