Complexity,Loss,Equation
1,0.6897803,"0.1292978"
3,0.6262345,"(x4 * -0.11808953)"
5,0.6011897,"((x2 * -2.1005154) * x3)"
7,0.5723215,"(((x3 * -2.3139923) + 0.22620243) * x2)"
9,0.5703286,"((((x3 * -2.230834) + 0.18235925) * x2) + 0.06616942)"
11,0.558209,"((x4 * -0.05884797) + (((x3 * -1.8597313) + 0.23163348) * x2))"
13,0.54230714,"(((((x3 / 0.092210256) + -1.378039) * (x2 + 0.3764851)) + x4) * -0.12889831)"
15,0.5252018,"(((((x3 / 0.092210256) + -1.0281227) * ((x2 + 1.294536) * x2)) + x4) * -0.11011119)"
17,0.515087,"(((x3 * 2.5899072) + x4) / (((x4 * ((x3 * 4.591682) + x4)) * -0.1480232) + -2.0037756))"
19,0.49333513,"(((x3 * 3.0173452) + x4) / ((((x4 + x3) * ((x3 * 4.591682) + x4)) * -0.1480232) + -1.6779317))"
21,0.46905196,"(((x3 * 3.9907198) + x4) / (((((x3 * 4.0490804) + x4) * ((x3 * 4.0139728) + x4)) * -0.19251533) + -1.1983613))"
23,0.44630024,"((((x3 * 3.942978) + -0.20499013) + x4) / (((((x3 * 4.0139728) + x4) * ((x3 * 4.0139728) + x4)) * -0.20009479) + -1.056604))"
25,0.43713993,"((((x3 * 3.9907198) + -0.2920652) + x4) / (((((x3 * 3.9907198) + x4) * ((x3 * 3.9907198) + (x4 + -0.58206606))) * -0.19918783) + -1.1192385))"
27,0.42992452,"((((x3 * 3.9907198) + -0.2077273) + (x4 + (x1 * -0.15355267))) / (((((x3 * 3.9907198) + x4) * ((x3 * 3.130886) + x4)) * -0.21450245) + -1.1192385))"
29,0.4232115,"((((x3 * 3.9907198) + (x2 * -0.23748922)) + (x4 + (x1 * -0.15355267))) / (((((x3 * 3.9907198) + x4) * ((x3 * 3.130886) + x4)) * -0.21450245) + -1.1192385))"
