,file_name,formula,h,explicit,reward,init_xpos,init_xdot,init_theta,init_thetadot
5,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),0.01,True,-8767.220929141624,-0.41622780290941064,0.49999999948246776,2.6415926535966445,0.49999999519908905
7,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),0.01,True,-8767.220927749184,-0.4017498653682802,0.49999999942974327,2.6415926536090035,0.49999999440850534
2,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),0.01,True,-8767.220924601514,-0.3705569322206725,-0.4999999999987974,3.6415926535753247,-0.49999999498919434
0,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),0.01,True,-8767.22092279616,-0.41437370653122746,0.4999999999522962,2.6415926535968057,0.4999999942173696
9,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),0.01,True,-8767.220922427497,-0.12146559790054406,0.49999999987587657,2.641592653596317,0.4999999942144415
17,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),0.005,True,-7258.201206717871,0.48290517525954896,-0.49999999992758276,3.6415926531534977,-0.49999939207739624
19,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),0.005,True,-7258.201173562105,0.18645570820509322,-0.499999973125272,3.641592653508985,-0.4999994054984858
14,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),0.005,True,-7258.201162325733,0.0914094033692946,0.4999999989616217,2.6415926536568817,0.4999994467132299
18,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),0.005,True,-7258.201158653045,-0.31595235590860354,0.4999999987377901,2.6415926539436074,0.49999969571837954
13,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),0.005,True,-7258.201150355048,-0.31797400119788893,-0.49999999999490824,3.6415926535887957,-0.49999939350698386
28,symbolic_complex19_cma_swingup_fav_model.pt,((x3 * 5.046861093818434) + 1.422385813301791 * x4) / ((((-1.8336456067440756 * x4 + 1.3519432134015161 * x3) * ((x3 * 3.358596577975964) + 0.5028390468876571*x4)) * 0.3368803402380893) + -1.1550591144484552),0.0025,True,-11061.343700035615,-0.4986691823283855,-0.49999999736710743,3.641592640435906,-0.4992020156666552
