Complexity,Loss,Equation
1,1.8520104,"0.96759045"
3,1.7586408,"(x2 * -0.25510317)"
5,1.2384912,"((x0 * -0.4206564) * x2)"
7,1.2125435,"(((x2 * x0) + x1) / -2.3512144)"
9,1.1904967,"((((x2 + x1) * x0) + x1) / -2.326582)"
11,0.9998842,"((x2 * x0) / ((x2 * (x2 * -0.05760899)) + -0.696861))"
13,0.9335283,"(((x2 + x1) * x0) / ((x2 * (x2 * -0.060752857)) + -0.64416397))"
15,0.8973615,"((x2 * x0) / ((x2 * ((x2 * (x0 * x0)) * -0.077713415)) + -0.7270238))"
17,0.87567693,"(((x2 + x1) * x0) / ((x2 * ((x2 * (x0 * x0)) * -0.07611064)) + -0.7107913))"
19,0.8158357,"(((x2 + (x1 / 0.2807797)) * x0) / ((((x1 / 0.14147963) + x2) * (x2 * -0.061397437)) + -0.8070769))"
21,0.8124966,"(((x2 + (x1 / 0.2807797)) * (x0 + 0.016392158)) / ((((x1 / 0.14147963) + x2) * (x2 * -0.061397437)) + -0.8070769))"
23,0.7732246,"(((x2 + (x1 / 0.41457283)) * x0) / (((x2 + (x1 / 0.23161463)) * ((x2 * (x0 * x0)) * -0.09160962)) + -0.6180721))"
25,0.75777245,"(((x2 + (x1 / 0.3671978)) * x0) / (((x2 + (x1 / 0.2037437)) * ((x2 * ((x0 * x0) + 0.081595264)) * -0.07608949)) + -0.6662794))"
27,0.75072014,"(((x2 + (x1 / 0.3671978)) * x0) / (((x2 + (x1 / 0.2037437)) * ((x2 * (((x0 + -0.07608949) * x0) + 0.08087992)) * -0.07608949)) + -0.6662794))"
29,0.74473715,"((((x2 + (x1 / 0.3671978)) * x0) + (x1 * 0.20381859)) / (((x2 + (x1 / 0.2037437)) * ((x2 * ((x0 * x0) + 0.08087992)) * -0.07608949)) + -0.6662794))"
