,file_name,formula,h,explicit,ep_len,reward,init_omega,init_theta
36,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),0.05,True,1000,-5225.31149635222,-3.1505035078609476,0.47791508784931924
31,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),0.05,True,1000,-5221.782901421325,-3.303707127425123,-1.479191923102052
33,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),0.05,True,1000,-5209.389064413755,15.973871118824798,1.7035973631450432
35,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),0.05,True,1000,-5204.645805344098,2.830721569832278,-1.6315059636201974
38,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),0.05,True,1000,-5199.698812361205,-0.29390012155164696,-7.999999795770241
49,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),0.025,True,1000,-4740.131263666854,3.118490908751304,-0.47697221419051933
46,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),0.025,True,1000,-4734.728412832826,3.0919405021636854,-0.6342246169914957
47,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),0.025,True,1000,-4589.636703054863,-9.033203114994947,-0.2570792639225914
40,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),0.025,True,1000,-4526.301750759341,-1.8799740140448626,7.9999998382371205
42,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),0.025,True,1000,-4526.301750759341,-1.8799739861343296,7.999999999999926
53,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),0.0125,True,1000,-4248.864357145847,-0.868164632007733,7.999881120991508
50,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),0.0125,True,1000,-4248.856419471761,0.8664079230473583,-7.99999991713332
56,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),0.0125,True,1000,-4248.856419471761,-0.8664079185660566,7.999999997692783
51,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),0.0125,True,1000,-4248.856410353367,0.8664078211657293,-7.9999999000808595
52,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),0.0125,True,1000,-4248.83253090403,-0.8664807968282112,7.99960980934321
8,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),0.05,False,1000,-1496.042035157157,3.1415927594622732,1.5012510547038353e-06
0,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),0.05,False,1000,-1484.5115347908502,-3.1415924397613515,1.8071815913959206e-06
1,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),0.05,False,1000,-1431.6709176979984,3.1415986971320753,-7.494973853678132e-06
9,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),0.05,False,1000,-1260.8753105140042,9.424897119028271,0.0011100260679484109
5,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),0.05,False,1000,-1152.0485913694963,-15.707952118695289,0.0005949161948329866
15,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),0.025,False,1000,-1814.742156020712,-3.141615944589981,0.00014127187711510437
19,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),0.025,False,1000,-1685.6163688468507,-3.1417730737944827,-0.0009607099463295396
12,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),0.025,False,1000,-1649.2676854317485,-3.1417949773506146,-0.0009221010006983691
11,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),0.025,False,1000,-1349.2161862871699,-15.709596517191132,0.017196459941810443
18,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),0.025,False,1000,-1340.078061295908,-3.1426670048990872,0.022759667544367628
23,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),0.0125,False,1000,-2815.660847354855,-3.142949341393732,-0.006584800340188324
27,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),0.0125,False,1000,-2527.477038222335,3.1341184575378067,-0.0685660901476817
26,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),0.0125,False,1000,-2368.419951315044,-3.1354825438489353,0.03626342113355142
28,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),0.0125,False,1000,-2346.260811069674,-3.164980837604396,-0.02478879002283506
24,symbolic_complex13A_cma_pendulum_final_model.pt,(((x2*30.934794728953406 + x1*123.37743397996053) * x0) / ((x2 * (x2 * -1.382792607198603)) + -10.854334481828882)),0.0125,False,1000,-2334.4651049932736,3.1616005643581144,0.06002893096681844
