,file_name,formula,h,explicit,ep_len,reward,init_omega,init_theta
37,symbolic_complex17A_cma_pendulum_fav_model.pt,(((4.8139100718210885*x2 + 11.061069428855092*x1) * x0 * 20.311259981564962) / ((x2 * ((x2 * (x0 * x0)) * -9.437333240798203)) + -15.478421385466351)),0.05,True,1000,-5028.100536200474,7.889103517615582,5.962867108215363
34,symbolic_complex17A_cma_pendulum_fav_model.pt,(((4.8139100718210885*x2 + 11.061069428855092*x1) * x0 * 20.311259981564962) / ((x2 * ((x2 * (x0 * x0)) * -9.437333240798203)) + -15.478421385466351)),0.05,True,1000,-5013.71601928123,3.6738387914164132,0.38999835185784826
32,symbolic_complex17A_cma_pendulum_fav_model.pt,(((4.8139100718210885*x2 + 11.061069428855092*x1) * x0 * 20.311259981564962) / ((x2 * ((x2 * (x0 * x0)) * -9.437333240798203)) + -15.478421385466351)),0.05,True,1000,-4985.838912233655,-5.61088071084555,7.734897128497428
30,symbolic_complex17A_cma_pendulum_fav_model.pt,(((4.8139100718210885*x2 + 11.061069428855092*x1) * x0 * 20.311259981564962) / ((x2 * ((x2 * (x0 * x0)) * -9.437333240798203)) + -15.478421385466351)),0.05,True,1000,-4978.358942184187,3.505138627306894,4.198059750092007
39,symbolic_complex17A_cma_pendulum_fav_model.pt,(((4.8139100718210885*x2 + 11.061069428855092*x1) * x0 * 20.311259981564962) / ((x2 * ((x2 * (x0 * x0)) * -9.437333240798203)) + -15.478421385466351)),0.05,True,1000,-4978.309111292941,2.9564308126132754,-3.8153799919717604
48,symbolic_complex17A_cma_pendulum_fav_model.pt,(((4.8139100718210885*x2 + 11.061069428855092*x1) * x0 * 20.311259981564962) / ((x2 * ((x2 * (x0 * x0)) * -9.437333240798203)) + -15.478421385466351)),0.025,True,1000,-4046.0780908347633,3.109863758997558,-2.245876913144279
43,symbolic_complex17A_cma_pendulum_fav_model.pt,(((4.8139100718210885*x2 + 11.061069428855092*x1) * x0 * 20.311259981564962) / ((x2 * ((x2 * (x0 * x0)) * -9.437333240798203)) + -15.478421385466351)),0.025,True,1000,-4031.9932319461745,-3.13363256338788,-1.461260230865527
46,symbolic_complex17A_cma_pendulum_fav_model.pt,(((4.8139100718210885*x2 + 11.061069428855092*x1) * x0 * 20.311259981564962) / ((x2 * ((x2 * (x0 * x0)) * -9.437333240798203)) + -15.478421385466351)),0.025,True,1000,-3991.412104950145,-1.0806218171141757,7.980208725987435
40,symbolic_complex17A_cma_pendulum_fav_model.pt,(((4.8139100718210885*x2 + 11.061069428855092*x1) * x0 * 20.311259981564962) / ((x2 * ((x2 * (x0 * x0)) * -9.437333240798203)) + -15.478421385466351)),0.025,True,1000,-3990.4470223833687,0.9594138319059782,-7.999992000418634
42,symbolic_complex17A_cma_pendulum_fav_model.pt,(((4.8139100718210885*x2 + 11.061069428855092*x1) * x0 * 20.311259981564962) / ((x2 * ((x2 * (x0 * x0)) * -9.437333240798203)) + -15.478421385466351)),0.025,True,1000,-3990.312702664623,-0.9581370331700269,7.984432044578323
58,symbolic_complex17A_cma_pendulum_fav_model.pt,(((4.8139100718210885*x2 + 11.061069428855092*x1) * x0 * 20.311259981564962) / ((x2 * ((x2 * (x0 * x0)) * -9.437333240798203)) + -15.478421385466351)),0.0125,True,1000,-2609.212082994224,-3.1427851754579,-0.004634128715859755
50,symbolic_complex17A_cma_pendulum_fav_model.pt,(((4.8139100718210885*x2 + 11.061069428855092*x1) * x0 * 20.311259981564962) / ((x2 * ((x2 * (x0 * x0)) * -9.437333240798203)) + -15.478421385466351)),0.0125,True,1000,-2549.6170451885255,3.140000264374038,-0.006188433804538336
55,symbolic_complex17A_cma_pendulum_fav_model.pt,(((4.8139100718210885*x2 + 11.061069428855092*x1) * x0 * 20.311259981564962) / ((x2 * ((x2 * (x0 * x0)) * -9.437333240798203)) + -15.478421385466351)),0.0125,True,1000,-2540.88748167953,3.1399366092884278,-0.006435884576091372
56,symbolic_complex17A_cma_pendulum_fav_model.pt,(((4.8139100718210885*x2 + 11.061069428855092*x1) * x0 * 20.311259981564962) / ((x2 * ((x2 * (x0 * x0)) * -9.437333240798203)) + -15.478421385466351)),0.0125,True,1000,-2528.8904099665133,-3.139833212686224,0.00683809837914835
59,symbolic_complex17A_cma_pendulum_fav_model.pt,(((4.8139100718210885*x2 + 11.061069428855092*x1) * x0 * 20.311259981564962) / ((x2 * ((x2 * (x0 * x0)) * -9.437333240798203)) + -15.478421385466351)),0.0125,True,1000,-2520.229073176727,-3.1434143474016376,-0.007079728821140425
7,symbolic_complex17A_cma_pendulum_fav_model.pt,(((4.8139100718210885*x2 + 11.061069428855092*x1) * x0 * 20.311259981564962) / ((x2 * ((x2 * (x0 * x0)) * -9.437333240798203)) + -15.478421385466351)),0.05,False,1000,-679.5336549530276,-3.140282096489534,0.005703179473746941
4,symbolic_complex17A_cma_pendulum_fav_model.pt,(((4.8139100718210885*x2 + 11.061069428855092*x1) * x0 * 20.311259981564962) / ((x2 * ((x2 * (x0 * x0)) * -9.437333240798203)) + -15.478421385466351)),0.05,False,1000,-642.811347433711,3.1386972934632307,-0.01247980239720274
1,symbolic_complex17A_cma_pendulum_fav_model.pt,(((4.8139100718210885*x2 + 11.061069428855092*x1) * x0 * 20.311259981564962) / ((x2 * ((x2 * (x0 * x0)) * -9.437333240798203)) + -15.478421385466351)),0.05,False,1000,-628.2956921109619,3.1464641545716385,0.020877844714563134
2,symbolic_complex17A_cma_pendulum_fav_model.pt,(((4.8139100718210885*x2 + 11.061069428855092*x1) * x0 * 20.311259981564962) / ((x2 * ((x2 * (x0 * x0)) * -9.437333240798203)) + -15.478421385466351)),0.05,False,1000,-591.7475379833236,-3.1539209081254516,-0.051350029821087995
6,symbolic_complex17A_cma_pendulum_fav_model.pt,(((4.8139100718210885*x2 + 11.061069428855092*x1) * x0 * 20.311259981564962) / ((x2 * ((x2 * (x0 * x0)) * -9.437333240798203)) + -15.478421385466351)),0.05,False,1000,-591.6438024090456,-3.1329149335691944,0.03642638116262067
16,symbolic_complex17A_cma_pendulum_fav_model.pt,(((4.8139100718210885*x2 + 11.061069428855092*x1) * x0 * 20.311259981564962) / ((x2 * ((x2 * (x0 * x0)) * -9.437333240798203)) + -15.478421385466351)),0.025,False,1000,-1434.3338453095453,3.142129218532644,0.00217528504529429
