,file_name,formula,h,explicit,ep_len,reward,init_omega,init_theta
36,symbolic_complex9A_cma_pendulum_fav_model.pt,((((-105.90263870882242*x2 + -424.71175274715085*x1) * x0) + 12.033308606113351*x1) / 50.57729733901235),0.05,True,1000,-5274.817879273439,3.1361301198843137,-0.7654486645688872
38,symbolic_complex9A_cma_pendulum_fav_model.pt,((((-105.90263870882242*x2 + -424.71175274715085*x1) * x0) + 12.033308606113351*x1) / 50.57729733901235),0.05,True,1000,-5249.825252857692,3.292848588757321,1.4516098724167628
30,symbolic_complex9A_cma_pendulum_fav_model.pt,((((-105.90263870882242*x2 + -424.71175274715085*x1) * x0) + 12.033308606113351*x1) / 50.57729733901235),0.05,True,1000,-5234.007703555461,-0.3233271983630217,-7.984715575909474
35,symbolic_complex9A_cma_pendulum_fav_model.pt,((((-105.90263870882242*x2 + -424.71175274715085*x1) * x0) + 12.033308606113351*x1) / 50.57729733901235),0.05,True,1000,-5231.837987202864,-0.40821040800506686,-6.152987808235068
37,symbolic_complex9A_cma_pendulum_fav_model.pt,((((-105.90263870882242*x2 + -424.71175274715085*x1) * x0) + 12.033308606113351*x1) / 50.57729733901235),0.05,True,1000,-5231.59008034394,-5.959586883355017,7.981161447382617
47,symbolic_complex9A_cma_pendulum_fav_model.pt,((((-105.90263870882242*x2 + -424.71175274715085*x1) * x0) + 12.033308606113351*x1) / 50.57729733901235),0.025,True,1000,-4524.775349935041,1.1154601766858199,-7.987044379093863
45,symbolic_complex9A_cma_pendulum_fav_model.pt,((((-105.90263870882242*x2 + -424.71175274715085*x1) * x0) + 12.033308606113351*x1) / 50.57729733901235),0.025,True,1000,-4524.767063988726,1.1135583001560478,-7.998019685711091
44,symbolic_complex9A_cma_pendulum_fav_model.pt,((((-105.90263870882242*x2 + -424.71175274715085*x1) * x0) + 12.033308606113351*x1) / 50.57729733901235),0.025,True,1000,-4524.755918602478,-1.0963089842307256,7.999463888319332
49,symbolic_complex9A_cma_pendulum_fav_model.pt,((((-105.90263870882242*x2 + -424.71175274715085*x1) * x0) + 12.033308606113351*x1) / 50.57729733901235),0.025,True,1000,-4524.714458404588,1.0501210478583398,-7.9964830938998395
42,symbolic_complex9A_cma_pendulum_fav_model.pt,((((-105.90263870882242*x2 + -424.71175274715085*x1) * x0) + 12.033308606113351*x1) / 50.57729733901235),0.025,True,1000,-4524.702245940946,-1.0957795492579767,7.997465435758645
