,file_name,formula,h,explicit,ep_len,reward,init_omega,init_theta
37,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),0.05,True,1000,-5209.289611077069,-0.30078288548958737,-7.995262457133937
30,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),0.05,True,1000,-5208.538820839668,0.30051375408641445,7.999846236221086
31,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),0.05,True,1000,-5208.525113111586,0.3049425875902012,7.954416334970609
32,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),0.05,True,1000,-5208.2535120930925,-6.587462941998879,-7.964781797987618
36,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),0.05,True,1000,-5208.049117604,0.30650144483013425,7.943055981766536
43,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),0.025,True,1000,-4645.832126784099,-3.363978653930413,-0.40483881474188976
44,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),0.025,True,1000,-4518.289748538481,0.8961580647573675,-7.999779401610743
45,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),0.025,True,1000,-4518.280913622375,0.8059375149883784,-7.999406285210917
42,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),0.025,True,1000,-4518.2356741325,0.8060801981639727,-7.999978666975101
49,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),0.025,True,1000,-4518.235456712287,0.8060806089490505,-7.9999801726921715
52,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),0.0125,True,1000,-4116.005541629966,2.773367118400881,-1.3936286122609864
55,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),0.0125,True,1000,-4079.239009386271,2.725499738548285,-0.8495618588877369
54,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),0.0125,True,1000,-4033.5093163345705,-2.673857062774906,-0.16755683967258067
51,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),0.0125,True,1000,-3910.341701752521,-3.4472199736737634,4.8212970374485495
56,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),0.0125,True,1000,-3835.055078094643,3.21970160392235,3.200516397830903
0,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),0.05,False,1000,-1537.08710696938,-3.141592673124379,-6.207702973881624e-07
1,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),0.05,False,1000,-1537.08710696938,-3.1415927938824413,-6.20770319669925e-07
3,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),0.05,False,1000,-1522.6989061679358,3.1415926273637633,5.984315310292317e-07
6,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),0.05,False,1000,-1518.3494141922547,3.1415926098334697,-5.690180777118802e-07
8,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),0.05,False,1000,-1518.3494141922547,3.14159244445479,-5.690180580324596e-07
13,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),0.025,False,1000,-2984.552610948807,-3.1415928281386396,-3.151647867354139e-07
18,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),0.025,False,1000,-2951.7732361598164,3.141592846219619,2.784075806011969e-07
11,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),0.025,False,1000,-2411.885607055662,-3.1415921462148266,2.7935622906483104e-05
14,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),0.025,False,1000,-1437.9390333658384,3.1472517346242457,0.024752459568527622
12,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),0.025,False,1000,-1173.0008976457848,-34.57410189299627,-0.07508175849385168
23,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),0.0125,False,1000,-6021.440217125759,-9.424777716803966,-2.559727718676186e-07
24,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),0.0125,False,1000,-5570.327165054982,-3.141592497059184,1.3646022463284037e-06
25,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),0.0125,False,1000,-3503.3216777364973,-3.1414948683181914,-0.002275983717286323
28,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),0.0125,False,1000,-3058.573799136777,-3.141140072237679,-0.012004299786731738
26,symbolic_complex9A_cma_pendulum_final_model.pt,((((-103.98278758230776*x2 + -439.8676674029891*x1) * x0) + 15.506300817372034*x1) / 51.535798962002275),0.0125,False,1000,-2899.089672809004,3.1453486801391386,0.025460908534000737
