,file_name,formula,parametrized_formula,reward_mean,reward_std,reward16_mean,reward16_std,reward_halfdt_mean,reward_halfdt_std,explicit_reward_mean,explicit_reward_std,explicit_reward16_mean,explicit_reward16_std,explicit_reward_halfdt_mean,explicit_reward_halfdt_std,imexplicit_rew_discrep_mean,imexplicit_rew_discrep_std,step_rew_discrep_mean,step_rew_discrep_std,prec_discrep_mean,prec_discrep_std,prec_exp_discrep_mean,prec_exp_discrep_std
0,actor.pth,Actor,Actor,-149.21131896972656,85.63660430908203,-149.21267700195312,85.6363296508789,-298.0686950683594,170.837158203125,-138.24057006835938,77.47004699707031,-138.24510192871094,77.4737319946289,-278.2451477050781,155.78961181640625,17.687389373779297,38.0479736328125,148.8573760986328,85.20510864257812,0.02236734703183174,0.05023014545440674,0.016970451921224594,0.03952678665518761
1,symbolic_complex19A_final_model.pt,(((1.6276639699935913*x2 + (x1 / 0.1611037701368332)) * x0) / ((((x1 / 0.16852176189422607) + 0.993894636631012*x2) * (x2 * -0.08521824330091476)) + -0.7546262741088867)),(((p4*x2 + (x1 / p0)) * x0) / ((((x1 / p1) + p5*x2) * (x2 * p2)) + p3)),-156.87953618457414,91.39336045571191,-156.88526239499092,91.39627759011675,-310.57912315514403,177.92869541783966,-527.3194343478389,445.6373435695932,-527.2617922451861,445.5746250646125,-684.1661351752958,634.2809959766737,421.7975140068741,407.4799292831481,153.69958697056992,88.27973587497956,0.019424083290334484,0.051194000563636786,0.24235276380027124,0.627238529661715
2,symbolic_complex9A_final_model.pt,((((1.303342580795288*x2 + 4.180480480194092*x1) * x0) + 0.36475899815559387*x1) / -0.5190477967262268),((((p1*x2 + p2*x1) * x0) + p3*x1) / p0),-207.22349330366316,182.86251028906256,-206.79177485771368,181.5536062768402,-431.53526621448816,396.08191998030634,-603.6642451957755,489.75260023189725,-603.7115339969753,489.79189640875984,-910.4332742897736,852.6942889840726,479.03940936716293,416.9133543174795,232.7022018271825,242.54250203734125,0.7172915284419714,5.188965263315944,0.08882604981966503,0.24642202454536397
3,symbolic_LandajuelaOrig2.pt,-7.079999923706055 *x1 + (-13.390000343322754*x1 + -3.119999885559082*x2) / (x0) + 0.27000001072883606,p0 * x1 + (p1 * x1  + p2 * x2) / (x0) + p3,-150.05132428340795,87.51757225461175,-150.07267228408134,87.57825299290991,-318.4629830482946,189.9985721395038,-702.8300479573617,444.7106021270315,-703.5367905191814,445.28964978598475,-994.1642000681304,777.3537941596243,577.5618540149694,401.77572883479354,168.5471181088694,129.2780381772645,0.032982568540825985,0.1929154425684028,12.159032812196603,20.51982290895589
4,symbolic_complex7A_final_model.pt,((1.0744609832763672*(x2 * x0) + 3.0643789768218994*x1 ) / -0.4824201166629791),((p1 * (x2 * x0) + p2 * x1) / p0),-190.57400313071065,137.0691073482605,-190.5832495160748,137.06981338574474,-379.5609710435329,272.3306645581617,-595.6045462969191,519.337776947832,-595.7432466904371,519.4983460554498,-713.8304877653707,747.979350775911,449.4228873911111,460.07711898508506,188.98696791282225,135.26833072297765,0.021294399149380947,0.04461458237751834,0.2341811215034971,1.6916077952968946
5,symbolic_LandajuelaOrig.pt,-2.0 *x1 + (-8.0*x1 + -2.0*x2) / (x0),p0 * x1 + (p1 * x1  + p2 * x2) / (x0),-175.72173184363157,104.44951250095738,-177.00771621529796,105.96920978814644,-339.5347491456919,210.96525163023648,-606.3490674232378,457.1117596415386,-609.2090797969487,459.7086642059221,-911.6939509981357,775.2814020321725,491.760748793335,406.5038951461429,167.19347621467233,127.0973964708822,1.2993660834648377,12.345514222321123,11.863643704051231,20.10645280301282
6,symbolic_complex7Orig.pt,(((x2 * x0) + x1) / -2.3512144),(((x2 * x0) + x1) / -2.3512144),-1072.1826869989177,73.93878455961922,-1072.0183590213485,74.18237883170194,-2155.0281519763707,147.14705814311202,-1187.0179377979582,53.15404615221971,-1187.0883881542647,53.43790855533268,-2266.1363491305806,123.46766875819513,124.90437362280272,53.28191443116026,1082.8454649774533,75.62290350847384,0.28426399171157074,0.8617031570804952,0.3987817589107442,1.2394990988065018
7,symbolic_complex17A_final_model.pt,(((0.5675613284111023*x2 + 2.032627820968628*x1) * x0 * 1.3815231323242188) / ((x2 * ((x2 * (x0 * x0)) * -0.03498747572302818)) + -0.11211182922124863)),(((p2*x2 + p3*x1) * x0 * p4) / ((x2 * ((x2 * (x0 * x0)) * p0)) + p1)),-192.2437248645288,116.65934561630624,-192.19570020599312,116.72575818040147,-360.20979902513454,218.39748581599176,-560.2630851310255,471.96378985806473,-560.8898138044528,472.61623163941476,-931.2528707167846,798.1710273356423,440.6403936842012,393.9287627169405,176.15425693044708,114.01313903100095,5.312998829712757,31.691854707338603,3.7974493047563183,7.648960565339209
8,symbolic_complex13A_final_model.pt,(((x2*1.1685140132904053 + x1*4.461864471435547) * x0) / ((x2 * (x2 * -0.014790644869208336)) + -0.2077711820602417)),(((x2*p2 + x1*p3) * x0) / ((x2 * (x2 * p0)) + p1)),-163.71416181460893,102.13876020773822,-163.7178395636724,102.13601289976084,-324.24191045835255,202.9284843681953,-716.1130664754742,464.2954210951907,-716.1150896531914,464.2982876755109,-1060.7882055860346,810.2821769563478,594.3239238016937,398.41094912972756,160.83384967472912,102.00168616996592,0.0406951118839966,0.15297256674464113,0.6483628642878463,1.5460240799823723
9,symbolic_complex7B_final_model.pt,((1.2016098499298096*(x2 * x0) + 2.939833879470825*x1 + -0.07029277831315994) / -0.5075784921646118 + 0.10189437866210938),((p1 * (x2 * x0) + p2 * x1 + p3) / p0 + p4),-197.62586649430136,143.14464932751582,-197.63561770635874,143.16006894872567,-388.3870103910716,279.60556478590604,-599.1437297345805,514.1018866574655,-599.0059863742528,513.9431902491276,-681.6802627560595,725.0578293555403,450.3879011977492,446.53266887538405,190.7611438967702,138.4404194339731,0.03626320217782474,0.06857597376207127,0.289531936931469,1.0859622532732844
