,file_name,formula,h,explicit,ep_len,reward,init_omega,init_theta
21,SmallNet.pt,3 -> 10 (relu) -> 1 (tanh) ,0.05,True,1000,-747.3067030259434,3.119038222766316,-7.544325556990055e-05
22,SmallNet.pt,3 -> 10 (relu) -> 1 (tanh) ,0.05,True,1000,-705.4135617739895,3.1189890852630615,-0.0002702645363683587
25,SmallNet.pt,3 -> 10 (relu) -> 1 (tanh) ,0.05,True,1000,-687.1047777394332,3.1189598214002685,-0.0003863216108719314
23,SmallNet.pt,3 -> 10 (relu) -> 1 (tanh) ,0.05,True,1000,-681.7241347233669,-3.164205730112152,-0.0003078590626678122
27,SmallNet.pt,3 -> 10 (relu) -> 1 (tanh) ,0.05,True,1000,-277.02328791543846,3.9303480167068257,0.3303434138214371
33,SmallNet.pt,3 -> 10 (relu) -> 1 (tanh) ,0.025,True,1000,-1452.0341771894487,-3.1642831662353657,-0.0006146949864015322
28,SmallNet.pt,3 -> 10 (relu) -> 1 (tanh) ,0.025,True,1000,-992.3447454683679,-3.1805942634277127,-0.06563798451639713
32,SmallNet.pt,3 -> 10 (relu) -> 1 (tanh) ,0.025,True,1000,-984.1533127965142,-3.181726165941891,-0.07012377805625387
30,SmallNet.pt,3 -> 10 (relu) -> 1 (tanh) ,0.025,True,1000,-882.0384392283092,9.352496539378885,-0.1888456535368168
31,SmallNet.pt,3 -> 10 (relu) -> 1 (tanh) ,0.025,True,1000,-733.2322378918409,-3.266444550676388,0.6680868823779721
38,SmallNet.pt,3 -> 10 (relu) -> 1 (tanh) ,0.0125,True,1000,-2465.581389183405,3.1174153217756486,-0.006512976796566164
39,SmallNet.pt,3 -> 10 (relu) -> 1 (tanh) ,0.0125,True,1000,-2328.501442556666,3.115598797686338,-0.01373962459798843
41,SmallNet.pt,3 -> 10 (relu) -> 1 (tanh) ,0.0125,True,1000,-2319.2072921456383,3.115446448034636,-0.014346868767635081
37,SmallNet.pt,3 -> 10 (relu) -> 1 (tanh) ,0.0125,True,1000,-2297.9626288641566,-3.1682064107689265,-0.016211571045824897
36,SmallNet.pt,3 -> 10 (relu) -> 1 (tanh) ,0.0125,True,1000,-2242.0476057952883,-3.169610342124669,-0.021821804919487674
0,SmallNet.pt,3 -> 10 (relu) -> 1 (tanh) ,0.05,False,1000,-926.8621643021659,3.1190574642630593,8.674284261366208e-07
2,SmallNet.pt,3 -> 10 (relu) -> 1 (tanh) ,0.05,False,1000,-668.2651410180665,3.1192436669116224,0.0008110799977838266
3,SmallNet.pt,3 -> 10 (relu) -> 1 (tanh) ,0.05,False,1000,-491.2195308111424,-3.1794555292577504,-0.16742730833416034
5,SmallNet.pt,3 -> 10 (relu) -> 1 (tanh) ,0.05,False,1000,-365.3370581430139,2.7070713315119703,1.5063814610335995
1,SmallNet.pt,3 -> 10 (relu) -> 1 (tanh) ,0.05,False,1000,-358.8474618457122,-3.4768158639659297,2.0934756184245256
13,SmallNet.pt,3 -> 10 (relu) -> 1 (tanh) ,0.025,False,1000,-1578.3704655881052,3.1190401437296003,-7.187041205928233e-05
11,SmallNet.pt,3 -> 10 (relu) -> 1 (tanh) ,0.025,False,1000,-1553.432472667129,-3.1641510454578206,-9.663417985718268e-05
10,SmallNet.pt,3 -> 10 (relu) -> 1 (tanh) ,0.025,False,1000,-1536.5826466241504,-3.16415511246685,-0.00011368160542139026
7,SmallNet.pt,3 -> 10 (relu) -> 1 (tanh) ,0.025,False,1000,-1534.2302837841526,-3.164155592200443,-0.0001157308825822122
8,SmallNet.pt,3 -> 10 (relu) -> 1 (tanh) ,0.025,False,1000,-1533.2769666304227,-3.164152687460063,-0.00010352110428575942
18,SmallNet.pt,3 -> 10 (relu) -> 1 (tanh) ,0.0125,False,1000,-2460.7713032435427,-3.1653051591307033,-0.0047895647725881875
16,SmallNet.pt,3 -> 10 (relu) -> 1 (tanh) ,0.0125,False,1000,-1854.340324565999,-3.2002365574243505,-0.17160386826656532
14,SmallNet.pt,3 -> 10 (relu) -> 1 (tanh) ,0.0125,False,1000,-1792.9013432417328,3.031868240107353,-0.4426949440415951
15,SmallNet.pt,3 -> 10 (relu) -> 1 (tanh) ,0.0125,False,1000,-1722.909164937444,2.982423650487651,-0.638536381881315
17,SmallNet.pt,3 -> 10 (relu) -> 1 (tanh) ,0.0125,False,1000,-1586.261359177358,-3.4664300315889123,-0.7758171184203403
