,file_name,formula,h,explicit,ep_len,reward,init_omega,init_theta
27,actor.pth,actor.pth,0.05,True,1000,-401.4130746787414,3.2309456161615766,0.08298244681530506
22,actor.pth,actor.pth,0.05,True,1000,-386.08849665522575,-3.175736165736829,-0.08084737872120662
21,actor.pth,actor.pth,0.05,True,1000,-384.4289013519883,3.121992707155933,-0.021071916153347914
25,actor.pth,actor.pth,0.05,True,1000,-383.9536708490923,-3.162051462600831,-0.023891542330899074
23,actor.pth,actor.pth,0.05,True,1000,-291.66430626250803,-3.7485493405035712,-1.3406087267451576
30,actor.pth,actor.pth,0.025,True,1000,-774.1882478939369,-3.0725368846031302,0.0665354991812248
29,actor.pth,actor.pth,0.025,True,1000,-771.8578870641068,-3.0707258441904917,0.06464160603561905
33,actor.pth,actor.pth,0.025,True,1000,-681.6601318987086,-2.975325677558103,1.162019872405762
31,actor.pth,actor.pth,0.025,True,1000,-558.4424125384539,-3.897274380308544,-1.369080247726293
28,actor.pth,actor.pth,0.025,True,1000,-495.7990723326802,3.7573064273696493,-2.8435885025370853
38,actor.pth,actor.pth,0.0125,True,1000,-1545.4592825751752,3.126430802131929,0.06223989692269607
41,actor.pth,actor.pth,0.0125,True,1000,-1526.9123324817047,-3.0458315018639124,0.08788518164852079
39,actor.pth,actor.pth,0.0125,True,1000,-1502.2531982082874,-3.0429236690123393,-0.017173063397655394
37,actor.pth,actor.pth,0.0125,True,1000,-1421.7625348931178,-3.0821851639789917,-0.7988665704838487
40,actor.pth,actor.pth,0.0125,True,1000,-1341.901206011884,-3.196600142573322,-1.4472007626321115
1,actor.pth,actor.pth,0.05,False,1000,-426.4335403321311,-3.2335651560097296,-0.05825836936893687
2,actor.pth,actor.pth,0.05,False,1000,-405.1079125851393,-3.24317723807285,-0.06398700638362567
3,actor.pth,actor.pth,0.05,False,1000,-400.199695575051,-3.2447704661940024,-0.03735618689729711
4,actor.pth,actor.pth,0.05,False,1000,-399.0625140145421,3.257125918131121,0.08815226401891993
6,actor.pth,actor.pth,0.05,False,1000,-398.25113279465586,-3.02615444527933,0.07917932806115996
9,actor.pth,actor.pth,0.025,False,1000,-818.604790600948,3.0437821490892794,-0.06271501619503758
8,actor.pth,actor.pth,0.025,False,1000,-814.1436044080183,-3.240684242598208,-0.0636922431893446
7,actor.pth,actor.pth,0.025,False,1000,-805.3978245817125,-3.242547733913607,-0.06510877837723497
11,actor.pth,actor.pth,0.025,False,1000,-788.3017099611461,15.603834360679,-0.06669461690852829
10,actor.pth,actor.pth,0.025,False,1000,-781.8834997210652,3.036252376577585,-0.05465017484495842
15,actor.pth,actor.pth,0.0125,False,1000,-1579.334436263889,-3.2437362265940597,-0.06601812177194176
16,actor.pth,actor.pth,0.0125,False,1000,-1574.8539962023497,3.03652883193549,-0.06296332871888764
18,actor.pth,actor.pth,0.0125,False,1000,-1572.4017604244873,-3.245794341288517,-0.06733586299528137
19,actor.pth,actor.pth,0.0125,False,1000,-1569.1353347199038,3.0373709826040316,-0.06730967367360742
17,actor.pth,actor.pth,0.0125,False,1000,-1568.931896626018,-3.2457820428733304,-0.06734420959346184
