,file_name,formula,h,explicit,ep_len,reward,init_omega,init_theta
21,symbolic_complex17A_final_model.pt,(((0.5675613284111023*x2 + 2.032627820968628*x1) * x0 * 1.3815231323242188) / ((x2 * ((x2 * (x0 * x0)) * -0.03498747572302818)) + -0.11211182922124863)),0.05,True,1000,-5352.849078997514,1.2943467601815168,2.871697863089236
25,symbolic_complex17A_final_model.pt,(((0.5675613284111023*x2 + 2.032627820968628*x1) * x0 * 1.3815231323242188) / ((x2 * ((x2 * (x0 * x0)) * -0.03498747572302818)) + -0.11211182922124863)),0.05,True,1000,-5322.629478194474,1.2027864000409756,1.0475432206637452
24,symbolic_complex17A_final_model.pt,(((0.5675613284111023*x2 + 2.032627820968628*x1) * x0 * 1.3815231323242188) / ((x2 * ((x2 * (x0 * x0)) * -0.03498747572302818)) + -0.11211182922124863)),0.05,True,1000,-5314.382514333988,0.9284740658551938,-7.977595964119063
23,symbolic_complex17A_final_model.pt,(((0.5675613284111023*x2 + 2.032627820968628*x1) * x0 * 1.3815231323242188) / ((x2 * ((x2 * (x0 * x0)) * -0.03498747572302818)) + -0.11211182922124863)),0.05,True,1000,-5311.070041363692,-1.0338664237306363,-0.7324093798916896
26,symbolic_complex17A_final_model.pt,(((0.5675613284111023*x2 + 2.032627820968628*x1) * x0 * 1.3815231323242188) / ((x2 * ((x2 * (x0 * x0)) * -0.03498747572302818)) + -0.11211182922124863)),0.05,True,1000,-5307.994572920213,1.210444375713409,-7.9909969068910724
33,symbolic_complex17A_final_model.pt,(((0.5675613284111023*x2 + 2.032627820968628*x1) * x0 * 1.3815231323242188) / ((x2 * ((x2 * (x0 * x0)) * -0.03498747572302818)) + -0.11211182922124863)),0.025,True,1000,-4666.467156339271,-3.7661015095082675,2.3567369933422038
28,symbolic_complex17A_final_model.pt,(((0.5675613284111023*x2 + 2.032627820968628*x1) * x0 * 1.3815231323242188) / ((x2 * ((x2 * (x0 * x0)) * -0.03498747572302818)) + -0.11211182922124863)),0.025,True,1000,-4662.855469450278,-1.6492118048835362,-7.9999999999932685
31,symbolic_complex17A_final_model.pt,(((0.5675613284111023*x2 + 2.032627820968628*x1) * x0 * 1.3815231323242188) / ((x2 * ((x2 * (x0 * x0)) * -0.03498747572302818)) + -0.11211182922124863)),0.025,True,1000,-4662.855468000933,1.6492117958805133,7.9999998411636515
32,symbolic_complex17A_final_model.pt,(((0.5675613284111023*x2 + 2.032627820968628*x1) * x0 * 1.3815231323242188) / ((x2 * ((x2 * (x0 * x0)) * -0.03498747572302818)) + -0.11211182922124863)),0.025,True,1000,-4662.708357567997,-1.653333187463989,-7.998638424050248
30,symbolic_complex17A_final_model.pt,(((0.5675613284111023*x2 + 2.032627820968628*x1) * x0 * 1.3815231323242188) / ((x2 * ((x2 * (x0 * x0)) * -0.03498747572302818)) + -0.11211182922124863)),0.025,True,1000,-4662.555192841266,1.8492118097465038,7.999999865068659
37,symbolic_complex17A_final_model.pt,(((0.5675613284111023*x2 + 2.032627820968628*x1) * x0 * 1.3815231323242188) / ((x2 * ((x2 * (x0 * x0)) * -0.03498747572302818)) + -0.11211182922124863)),0.0125,True,1000,-4209.740925882321,-0.12108710633892225,7.99263451233215
38,symbolic_complex17A_final_model.pt,(((0.5675613284111023*x2 + 2.032627820968628*x1) * x0 * 1.3815231323242188) / ((x2 * ((x2 * (x0 * x0)) * -0.03498747572302818)) + -0.11211182922124863)),0.0125,True,1000,-4209.516561550546,-0.119398251429095,7.999620910348184
35,symbolic_complex17A_final_model.pt,(((0.5675613284111023*x2 + 2.032627820968628*x1) * x0 * 1.3815231323242188) / ((x2 * ((x2 * (x0 * x0)) * -0.03498747572302818)) + -0.11211182922124863)),0.0125,True,1000,-4209.516481643929,-0.1208237944412809,7.978851840105247
36,symbolic_complex17A_final_model.pt,(((0.5675613284111023*x2 + 2.032627820968628*x1) * x0 * 1.3815231323242188) / ((x2 * ((x2 * (x0 * x0)) * -0.03498747572302818)) + -0.11211182922124863)),0.0125,True,1000,-4209.347593515904,-0.11512425025571879,7.997763299597557
40,symbolic_complex17A_final_model.pt,(((0.5675613284111023*x2 + 2.032627820968628*x1) * x0 * 1.3815231323242188) / ((x2 * ((x2 * (x0 * x0)) * -0.03498747572302818)) + -0.11211182922124863)),0.0125,True,1000,-4209.106459332988,0.035283566713379934,-7.995181111045313
3,symbolic_complex17A_final_model.pt,(((0.5675613284111023*x2 + 2.032627820968628*x1) * x0 * 1.3815231323242188) / ((x2 * ((x2 * (x0 * x0)) * -0.03498747572302818)) + -0.11211182922124863)),0.05,False,1000,-1524.0863632856594,-21.98236899465153,0.010052994904150125
5,symbolic_complex17A_final_model.pt,(((0.5675613284111023*x2 + 2.032627820968628*x1) * x0 * 1.3815231323242188) / ((x2 * ((x2 * (x0 * x0)) * -0.03498747572302818)) + -0.11211182922124863)),0.05,False,1000,-1203.5085375268313,-3.0310507370033397,0.9833521725582168
4,symbolic_complex17A_final_model.pt,(((0.5675613284111023*x2 + 2.032627820968628*x1) * x0 * 1.3815231323242188) / ((x2 * ((x2 * (x0 * x0)) * -0.03498747572302818)) + -0.11211182922124863)),0.05,False,1000,-1190.5871497143191,-5.985209004491914,7.2997735506913095
6,symbolic_complex17A_final_model.pt,(((0.5675613284111023*x2 + 2.032627820968628*x1) * x0 * 1.3815231323242188) / ((x2 * ((x2 * (x0 * x0)) * -0.03498747572302818)) + -0.11211182922124863)),0.05,False,1000,-1138.3556618375478,-3.579696699765581,0.7453241451332819
1,symbolic_complex17A_final_model.pt,(((0.5675613284111023*x2 + 2.032627820968628*x1) * x0 * 1.3815231323242188) / ((x2 * ((x2 * (x0 * x0)) * -0.03498747572302818)) + -0.11211182922124863)),0.05,False,1000,-1107.1527999695259,3.1460192287660353,-0.177617377274351
10,symbolic_complex17A_final_model.pt,(((0.5675613284111023*x2 + 2.032627820968628*x1) * x0 * 1.3815231323242188) / ((x2 * ((x2 * (x0 * x0)) * -0.03498747572302818)) + -0.11211182922124863)),0.025,False,1000,-2084.821507764367,3.141592653590226,2.6525869957627487e-12
11,symbolic_complex17A_final_model.pt,(((0.5675613284111023*x2 + 2.032627820968628*x1) * x0 * 1.3815231323242188) / ((x2 * ((x2 * (x0 * x0)) * -0.03498747572302818)) + -0.11211182922124863)),0.025,False,1000,-1793.372348230404,3.1415926538807093,3.3598786811317544e-09
