,file_name,formula,h,explicit,ep_len,reward,init_omega,init_theta
21,symbolic_LandajuelaOrig2.pt,-7.079999923706055 *x1 + (-13.390000343322754*x1 + -3.119999885559082*x2) / (x0) + 0.27000001072883606,0.05,True,1000,-5391.1794043708705,18.200144074240587,7.9818338376996625
24,symbolic_LandajuelaOrig2.pt,-7.079999923706055 *x1 + (-13.390000343322754*x1 + -3.119999885559082*x2) / (x0) + 0.27000001072883606,0.05,True,1000,-5379.050380968034,-0.9231471344429631,-3.7268253559483915
23,symbolic_LandajuelaOrig2.pt,-7.079999923706055 *x1 + (-13.390000343322754*x1 + -3.119999885559082*x2) / (x0) + 0.27000001072883606,0.05,True,1000,-5374.145978326861,0.6325901958701456,7.526722660529282
25,symbolic_LandajuelaOrig2.pt,-7.079999923706055 *x1 + (-13.390000343322754*x1 + -3.119999885559082*x2) / (x0) + 0.27000001072883606,0.05,True,1000,-5370.452754337432,2.4591763668905733,-3.9637030729762905
26,symbolic_LandajuelaOrig2.pt,-7.079999923706055 *x1 + (-13.390000343322754*x1 + -3.119999885559082*x2) / (x0) + 0.27000001072883606,0.05,True,1000,-5369.579665575744,0.7352019559250654,3.3239315760749197
32,symbolic_LandajuelaOrig2.pt,-7.079999923706055 *x1 + (-13.390000343322754*x1 + -3.119999885559082*x2) / (x0) + 0.27000001072883606,0.025,True,1000,-4740.993092245764,-0.07845984771927274,-7.171686531850899
31,symbolic_LandajuelaOrig2.pt,-7.079999923706055 *x1 + (-13.390000343322754*x1 + -3.119999885559082*x2) / (x0) + 0.27000001072883606,0.025,True,1000,-4717.02547331401,146.07992672158758,3.537912609784465
30,symbolic_LandajuelaOrig2.pt,-7.079999923706055 *x1 + (-13.390000343322754*x1 + -3.119999885559082*x2) / (x0) + 0.27000001072883606,0.025,True,1000,-4669.949631016129,-1.1979359123933297,-0.2731268843297189
34,symbolic_LandajuelaOrig2.pt,-7.079999923706055 *x1 + (-13.390000343322754*x1 + -3.119999885559082*x2) / (x0) + 0.27000001072883606,0.025,True,1000,-4661.684716111416,-1.113813662625247,7.389005238631006
29,symbolic_LandajuelaOrig2.pt,-7.079999923706055 *x1 + (-13.390000343322754*x1 + -3.119999885559082*x2) / (x0) + 0.27000001072883606,0.025,True,1000,-4655.432156248856,-1.1879892822031128,7.999713903698527
35,symbolic_LandajuelaOrig2.pt,-7.079999923706055 *x1 + (-13.390000343322754*x1 + -3.119999885559082*x2) / (x0) + 0.27000001072883606,0.0125,True,1000,-4297.165990403636,-2.8285335299596164,2.0906596005710245
40,symbolic_LandajuelaOrig2.pt,-7.079999923706055 *x1 + (-13.390000343322754*x1 + -3.119999885559082*x2) / (x0) + 0.27000001072883606,0.0125,True,1000,-4288.106556175962,-0.9485312682500368,7.944103864866824
36,symbolic_LandajuelaOrig2.pt,-7.079999923706055 *x1 + (-13.390000343322754*x1 + -3.119999885559082*x2) / (x0) + 0.27000001072883606,0.0125,True,1000,-4284.804005522176,-0.7873180852448682,7.990831077987131
