,file_name,formula,h,explicit,ep_len,reward,init_omega,init_theta
26,symbolic_complex9A_final_model.pt,((((1.303342580795288*x2 + 4.180480480194092*x1) * x0) + 0.36475899815559387*x1) / -0.5190477967262268),0.05,True,1000,-5541.885947828951,0.7685340000893709,-7.9999634209004284
25,symbolic_complex9A_final_model.pt,((((1.303342580795288*x2 + 4.180480480194092*x1) * x0) + 0.36475899815559387*x1) / -0.5190477967262268),0.05,True,1000,-5541.875087783055,-0.768109183973299,7.998319915791546
24,symbolic_complex9A_final_model.pt,((((1.303342580795288*x2 + 4.180480480194092*x1) * x0) + 0.36475899815559387*x1) / -0.5190477967262268),0.05,True,1000,-5541.847328758955,-0.7678077488042663,7.997153690400394
22,symbolic_complex9A_final_model.pt,((((1.303342580795288*x2 + 4.180480480194092*x1) * x0) + 0.36475899815559387*x1) / -0.5190477967262268),0.05,True,1000,-5541.820838496343,-0.768379457417768,7.999365542614843
23,symbolic_complex9A_final_model.pt,((((1.303342580795288*x2 + 4.180480480194092*x1) * x0) + 0.36475899815559387*x1) / -0.5190477967262268),0.05,True,1000,-5541.801756746181,-0.768334785384659,7.999192721721147
33,symbolic_complex9A_final_model.pt,((((1.303342580795288*x2 + 4.180480480194092*x1) * x0) + 0.36475899815559387*x1) / -0.5190477967262268),0.025,True,1000,-5039.67416994439,-0.026787545902493326,-7.975495816040251
32,symbolic_complex9A_final_model.pt,((((1.303342580795288*x2 + 4.180480480194092*x1) * x0) + 0.36475899815559387*x1) / -0.5190477967262268),0.025,True,1000,-5039.2458593483225,0.03503932327295953,7.998968417573153
30,symbolic_complex9A_final_model.pt,((((1.303342580795288*x2 + 4.180480480194092*x1) * x0) + 0.36475899815559387*x1) / -0.5190477967262268),0.025,True,1000,-5038.498403443453,0.20048375933761856,7.998208819330041
28,symbolic_complex9A_final_model.pt,((((1.303342580795288*x2 + 4.180480480194092*x1) * x0) + 0.36475899815559387*x1) / -0.5190477967262268),0.025,True,1000,-5037.354532624094,0.22025098409210697,7.809805793581758
29,symbolic_complex9A_final_model.pt,((((1.303342580795288*x2 + 4.180480480194092*x1) * x0) + 0.36475899815559387*x1) / -0.5190477967262268),0.025,True,1000,-5031.271313758868,-0.5962745697354317,-7.988319062190738
41,symbolic_complex9A_final_model.pt,((((1.303342580795288*x2 + 4.180480480194092*x1) * x0) + 0.36475899815559387*x1) / -0.5190477967262268),0.0125,True,1000,-4746.6151677496455,0.14943882004545267,-7.99999322723647
38,symbolic_complex9A_final_model.pt,((((1.303342580795288*x2 + 4.180480480194092*x1) * x0) + 0.36475899815559387*x1) / -0.5190477967262268),0.0125,True,1000,-4746.610860726098,0.14941645864429204,-7.99983061379451
36,symbolic_complex9A_final_model.pt,((((1.303342580795288*x2 + 4.180480480194092*x1) * x0) + 0.36475899815559387*x1) / -0.5190477967262268),0.0125,True,1000,-4746.47402704457,0.1479304742580722,-7.995826390979911
35,symbolic_complex9A_final_model.pt,((((1.303342580795288*x2 + 4.180480480194092*x1) * x0) + 0.36475899815559387*x1) / -0.5190477967262268),0.0125,True,1000,-4746.462468064301,0.14791799828311847,-7.9931194374614885
37,symbolic_complex9A_final_model.pt,((((1.303342580795288*x2 + 4.180480480194092*x1) * x0) + 0.36475899815559387*x1) / -0.5190477967262268),0.0125,True,1000,-4746.162407633756,-0.1455643475040286,7.977302910299746
3,symbolic_complex9A_final_model.pt,((((1.303342580795288*x2 + 4.180480480194092*x1) * x0) + 0.36475899815559387*x1) / -0.5190477967262268),0.05,False,1000,-3804.3967014989744,-2.9931527672508436,1.01293626720169
6,symbolic_complex9A_final_model.pt,((((1.303342580795288*x2 + 4.180480480194092*x1) * x0) + 0.36475899815559387*x1) / -0.5190477967262268),0.05,False,1000,-3752.1493226467733,-3.5031605217887565,0.4749320592040914
4,symbolic_complex9A_final_model.pt,((((1.303342580795288*x2 + 4.180480480194092*x1) * x0) + 0.36475899815559387*x1) / -0.5190477967262268),0.05,False,1000,-3701.6881091779337,-0.5499932124132229,-2.3118118405736823
2,symbolic_complex9A_final_model.pt,((((1.303342580795288*x2 + 4.180480480194092*x1) * x0) + 0.36475899815559387*x1) / -0.5190477967262268),0.05,False,1000,-3696.182091280861,0.44184383757838397,-7.951278404946017
